,sypnopsis,Action,Adventure,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Historical,Horror,Kids,Magic,MartialArts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shounen,SliceofLife,Space,Sports,SuperPower,Supernatural,Thriller,Vampire
0,year  humanity colonize planet moon solar system leave uninhabitable surface planet earth inter solar system police attempt peace galaxy aid outlaw bounty hunter refer cowboys ragtag team aboard spaceship bebop individual mellow carefree spike spiegel balance boisterous pragmatic partner jet black pair make live chase bounty collect reward throw course addition new member meet travel ein genetically engineer highly intelligent welsh corgi femme fatale faye valentine enigmatic trickster memory loss strange computer whiz kid edward wong crew embarks thrill adventure unravel member dark mysterious past little little balanced high density action light hearted comedy cowboy bebop space western classic homage smooth improvise music name,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,day bounty life unlucky crew bebop routine interrupted faye chase fairly worthless target mar witness oil tanker suddenly explode cause mass hysteria casualty mount strange disease spread smoke blast whopping million woolong price place head suppose perpetrator live stake solution money problem sight bebop crew spring action spike jet faye edward follow closely ein split pursue different lead alba city individual investigation discover cover scheme involve pharmaceutical company reveal plot reach ragtag team bounty hunter realize,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,"vash stampede man $ $ ,,, bounty head reason merciless villain lay waste oppose flatten entire city fun garner title humanoid typhoon leave trail death destruction go count dead eye contact rumor actuality vash huge softie claim take life avoid violence cost crazy doughnut obsession buffoonish attitude tow vash traverses wasteland planet gunsmoke follow insurance agent meryl stryfe milly thompson attempt minimize impact public soon misadventure evolve life death situation group legendary assassin summon bring suffer trio vash agonizing past unraveled morality principle push break point",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,witch individual special power like esp telekinesis mind control etc robin  year old craft user arrive italy japan work organization name stn japan division    replacement stn j witch hunter recently kill unlike division stn stn j try capture witch alive order learn witch place,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,dark century people suffer rule devil vandel able manipulate monster vandel buster group people hunt devils zenon squad know strong buster continent young boy beet dream join zenon squad day result beet fault zenon squad defeat devil beltose die buster sacrifice life power weapon saiga give weapon beet pass away year pass young vandel buster beet begin adventure carry zenon squad end dark century,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,sena like shy kid start high school try survive constantly bully accustomed run away survive high school lot difficult hiruma captain school american football team witness sena incredible agility speed escape bully hiruma scheme sena run school team devil bat hoping turn squad fortunes laughingstock japan high school league title contender protect precious star player rival recruiter enlist sena team secretary give visored helmet nickname eyeshield  hide identity devilbat look way christmas bowl annual tournament attend good football team japan eyeshield  lead way able win christmas bowl sena able transform timid undersized freshman star player pad helmet find,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,yuuta takemoto sophomore art college share cheap apartment senior eccentric shinobu morita keep fail graduate absenteeism sensible takumi mayama act proper senior takemoto look takemoto given think future fine spring day meet endear hagumi hanamoto fall love sight incredibly gifted art hagumi enroll takemoto university soon befriend popular pottery student ayumi yamada ayumi acquaint flatmate secretly harbor deep feeling hachimitsu clover heartwarming tale youth love soul search self discovery intricately weave complex relationship dear friend,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,kyosuke kano live shadow successful brother seisuke life professional soccer player tired compare downgrade abandon play soccer boy new highschool discover ask join team kyosuke join befriends year player name rodrigo sakai dream professional soccer player,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
8,takumi fujiwara finally join ryousuke keisuke takahashi create project d. goal twofold ryousuke want develop high speed street racing theory keisuke takumi aim improve drive skill face powerful opponent dangerous road idea project d challenge street racing team prefecture improve uphill downhill record order attract attention good racing team ryousuke create dedicated website announce future battle project d post team result fourth season initial d detail hardship success member project d try good street racing team outside gunma prefecture,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,dr kenzou tenma elite neurosurgeon recently engage hospital director daughter way ascend hospital hierarchy night seemingly small event change dr tenma life forever prepare perform surgery get hospital director tell switch patient instead perform life save brain surgery famous performer fellow doctor fiancée hospital director applaud accomplishment switch poor immigrant worker dead cause dr tenma crisis conscience similar situation arise dr tenma stand ground choose perform surgery young boy johan liebert instead town mayor unfortunately choice lead ramification dr tenma lose social stand mysterious death director doctor dr tenma position restore evidence convict release go attain position hospital director year later dr tenma save life criminal past come haunt come face face monster operate embark quest pursuit amend havoc spread save,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10,moment prior naruto uzumaki birth huge demon know kyuubi tail fox attack konohagakure hidden leaf village wreak havoc order end kyuubi rampage leader village fourth hokage sacrifice life seal monstrous beast inside newborn naruto naruto hyperactive knuckle head ninja living konohagakure shun kyuubi inside naruto struggle find place village burning desire hokage konohagakure lead great new friend deadly foe,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,gol d. roger know pirate king strong infamous sail grand line capture execution roger world government bring change world word death reveal existence great treasure world piece revelation bring grand age pirate man dream find piece promise unlimited riches fame possibly pinnacle glory title pirate king enter monkey d. luffy  year old boy defy standard definition pirate popular persona wicked harden toothless pirate ransack village fun luffy reason pirate pure wonder think exciting adventure lead intrigue people ultimately promise treasure follow footstep childhood hero luffy crew travel grand line experience crazy adventure unveil dark mystery battle strong enemy order reach coveted fortune piece,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12,world tennis harsh highly competitive numerous school japan battle determine good good seishun gakuen junior high school commonly know seigaku prominent contestant battle fine team line get strong sudden arrival young prodigy west ryouma echizen determine prove escape tower shadow legendary father fine addition change team forever prince tennis follow heartwarme inspirational story ryouma quest good tennis player country see push hard day surpass father personal expectation alongside rest seigaku team ryouma fight teammate dream come true,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
13,order fulfill dead father wish sibling takane kiku takane ryuji aims champopn title boxing arena sister kiku act trainer brother ryuji concentrate role boxer learn boomerang battle rival lead growth maturity ryuji junior high boxing tournament begin ryuji fight arch rival kenzaki jun battle begin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
14,word love change nature bittersweet trial high school romance tenma tsukamoto second year quest confess feeling boy like kenji harima delinquent sizable reputation similar situation properly convey feeling love school friend rivalry hobby find high school romance walk park especially misunderstanding complicate plight school rumble high octane romantic comedy relatable situation tenma kenji try win heart desire,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
15,great kanto desert swelter wasteland ruin sand remain post apocalyptic japan fair population leave cle inhospitable dune survival case normal people spend little long kanto sun desert offer wondrous opportunity person mask handyman sunabouzu desert punk forge legendary reputation finish job matter nature cost cunning ruthless force crude destruction desert people vixen desert junko asagiri discover sunabouzu weakness easily sway insatiable lust large breast desert babe follow chaotic adventure kanto desert sunabouzu feature bizarre cast personality entertain senseless violence perversion world long destroy forefather like learn damn thing,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
16,texhnolyze take place city lux man underground city crumble year neglect lack repair citizen lux come refer home simply city treat mind major faction battle control lux organo group professional collaborate criminal underworld control texhnolyze salvation union populist group seek disrupt organo business racan collection young individual texhnolyze use ability personal gain ichise orphan place lux prize fighter day fight promoter grow angry altercation follow result ichise lose arm leg death ichise find scientist eriko kamata use test subject newly design texhnolyze powerful new limb disposal ichise begin work oonishi leader organo soon meet mysterious young girl run power possible future soon realize lux brink war collapse one save city,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,follow armageddon apocalyptic war mankind face menace vampire continuous confrontation race split world separate faction race vampire methuselah affiliate new human empire human deem terran vampire vatican papal state furthermore extremist group like rosenkreuz order strive rekindle war despite faction attempt avoid direct conflict combat terrorist organization vatican implement ax unit lead cardinal caterina sforza ax agent investigate vampire relate disturbance hope terrans methuselah day achieve peaceful coexistence ax unit priest abel nightroad seemingly disorient gentle hearted fellow fierce vampire slayer battlefield join unit partner new agent sister esther blanchett brave gentle young nun troubled tragic past grow close begin uncover sign malicious scheme dark force work shadow path walk riddled misfortune force confront memories plague heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
18,country france england germany internationally celebrate bread japan simply match reputation discover wonder breadmake young age kazuma azuma embarks quest create japan unique national bread bless unusually warm hand allow dough ferment fast azuma able bring baking innovation level begin work prestigious japanese bakery chain pantasia azuma encounter talented baker experience firsthand competitive world bake newfound friend rival azuma strive create new unparalleled bread start bake revolution,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,mirai improved kongou class aegis guide missile destroyer new advanced ship entire japanese self defense force crew new lead capt umezu saburo executive officer kadomatsu yosuke run schedule training exercise day mirai encounter fierce storm throw navigation system temporary disarray minute recovery crew shock discover transport time june   battle midway world war ii let history course battle manage avoid conflict firsthand vow remain anonymous change history little possible crew come die lt commander kusaka takumi xo kadomatsu instinct save life take change course history imagine,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20,year  world stand brink destruction humanity hope lie hand nerv special agency united nations evangelion giant machine capable defeat angel herald earth ruin gendou ikari head organization seek compatible pilot synchronize evangelion realize true potential aid defensive endeavor talented personnel misato katsuragi head tactical operation ritsuko akagi chief scientist face face father time year  year old shinji ikari average life irreversibly change whisked away depth nerv harrowing new destiny pilot evangelion unit- fate mankind shoulder write hideaki anno neon genesis evangelion heroic tale young boy legend psychological drama unfold ancient secret beneath big picture begin bubble surface,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
